Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2016-06-22;18,3881;18,3881;18,3063;18,3776;1.958;35.965
2016-06-21;18,3824;18,3824;18,3824;18,3824;47;859
2016-06-20;18,2312;18,339;18,2283;18,339;690;12.587
2016-06-17;18,2466;18,2466;18,1571;18,1571;606;11.001
2016-06-16;18,1937;18,2274;18,1937;18,2274;137;2.497
2016-06-15;18,2977;18,2977;18,2977;18,2977;270;4.942
2016-06-14;18,2187;18,3294;18,1831;18,2861;5.579;101.636
2016-06-13;18,3034;18,3034;18,2678;18,2678;643;11.749
2016-06-10;18,366;18,366;18,366;18,366;31;572
2016-06-09;18,365;18,3872;18,3631;18,3747;214;3.932
2016-06-08;18,3477;18,3727;18,3313;18,3727;212;3.887
2016-06-07;18,392;18,392;18,3535;18,3535;673;12.375
2016-06-06;18,2717;18,4161;18,2563;18,4161;1.050;19.200
2016-06-03;18,6519;18,6519;18,1792;18,2948;1.234;22.774
2016-06-02;18,4709;18,521;18,4709;18,521;5.817;107.732
2016-06-01;18,6789;18,6789;18,5402;18,5402;566;10.500
2016-05-31;18,5942;18,5942;18,5942;18,5942;538;10.005
2016-05-30;18,651;18,651;18,651;18,651;83;1.550
2016-05-26;18,4536;18,4536;18,4209;18,4209;556;10.247
2016-05-25;18,417;18,4209;18,4161;18,4209;256;4.706
2016-05-24;18,108;18,339;18,108;18,339;1.123;20.565
